'CPT CODE RANGE','SURGERY FLAG'
'35211-35211','2'
'35216-35216','2'
'35221-35221','2'
'35226-35226','2'
'35231-35231','2'
'35236-35236','2'
'35241-35241','2'
'35246-35246','2'
'35251-35251','2'
'35256-35256','2'
'35261-35261','2'
'35266-35266','2'
'35271-35271','2'
'35276-35276','2'
'35281-35281','2'
'35286-35286','2'
'35301-35305','2'
'35311-35311','2'
'35321-35321','2'
'35331-35331','2'
'35341-35341','2'
'35351-35351','2'
'35355-35355','2'
'35361-35361','2'
'35363-35363','2'
'35371-35372','2'
'35381-35381','2'
'35450-35450','2'
'35452-35452','2'
'35454-35454','2'
'35456-35456','2'
'35458-35460','2'
'35470-35476','1'
'35480-35485','2'
'35490-35495','1'
'35501-35501','2'
'35506-35512','2'
'35515-35516','2'
'35518-35518','2'
'35521-35523','2'
'35525-35526','2'
'35531-35531','2'
'35533-35533','2'
'35535-35541','2'
'35546-35546','2'
'35548-35549','2'
'35551-35551','2'
'35556-35556','2'
'35558-35558','2'
'35560-35560','2'
'35563-35563','2'
'35565-35566','2'
'35570-35571','2'
'35583-35583','2'
'35585-35585','2'
'35587-35587','2'
'35601-35601','2'
'35606-35606','2'
'35612-35612','2'
'35616-35616','2'
'35621-35621','2'
'35623-35623','2'
'35626-35626','2'
'35631-35634','2'
'35636-35638','2'
'35641-35642','2'
'35645-35647','2'
'35650-35651','2'
'35654-35654','2'
'35656-35656','2'
'35661-35661','2'
'35663-35663','2'
'35665-35666','2'
'35671-35671','2'
'35691-35691','2'
'35693-35695','2'
'35701-35701','2'
'35721-35721','2'
'35741-35741','2'
'35761-35761','2'
'35800-35800','2'
'35820-35820','2'
'35840-35840','2'
'35860-35860','2'
'35870-35870','2'
'35875-35876','2'
'35879-35879','2'
'35881-35881','2'
'35883-35884','2'
'35901-35901','2'
'35903-35903','2'
'35905-35905','2'
'35907-35907','2'
'36145-36145','1'
'36260-36260','2'
'36468-36471','1'
'36473-36473','1'
'36475-36475','1'
'36478-36478','1'
'36557-36558','1'
'36560-36561','1'
'36563-36563','1'
'36565-36566','1'
'36568-36571','1'
'36575-36576','1'
'36578-36578','1'
'36580-36585','1'
'36589-36590','1'
'36597-36597','1'
'36680-36680','2'
'36800-36800','2'
'36810-36810','2'
'36815-36815','2'
'36818-36823','2'
'36825-36825','2'
'36830-36835','2'
'36838-36838','2'
'36870-36870','1'
'36902-36906','1'
'37140-37140','2'
'37145-37145','2'
'37160-37160','2'
'37180-37182','2'
'37183-37183','1'
'37184-37184','2'
'37187-37188','2'
'37191-37193','2'
'37197-37197','1'
'37200-37200','1'
'37203-37203','1'
'37204-37205','2'
'37207-37207','2'
'37210-37210','2'
'37215-37218','2'
'37220-37221','2'
'37224-37231','2'
'37236-37236','2'
'37238-37238','2'
'37241-37244','1'
'37246-37246','1'
'37248-37248','1'
'37500-37500','2'
'37565-37565','2'
'37600-37600','2'
'37605-37607','2'
'37609-37609','1'
'37615-37620','2'
'37650-37650','2'
'37660-37660','2'
'37700-37700','2'
'37718-37718','2'
'37722-37722','2'
'37735-37735','2'
'37760-37761','2'
'37765-37766','2'
'37780-37780','2'
'37785-37785','2'
'37788-37788','2'
'37790-37790','2'
'38100-38101','2'
'38115-38115','2'
'38120-38120','2'
'38240-38243','1'
'38300-38300','1'
'38305-38305','1'
'38308-38308','2'
'38380-38382','2'
'38500-38500','1'
'38505-38505','1'
'38510-38510','2'
'38520-38520','2'
'38525-38525','2'
'38530-38530','1'
'38542-38542','2'
'38550-38550','2'
'38555-38555','2'
'38562-38562','2'
'38564-38564','2'
'38570-38570','1'
'38571-38572','2'
'38700-38700','2'
'38720-38720','2'
'38724-38724','2'
'38740-38740','2'
'38745-38745','2'
'38760-38760','2'
'38765-38765','2'
'38770-38770','2'
'38780-38780','2'
'38792-38792','1'
'38794-38794','1'
'39000-39000','2'
'39010-39010','2'
'39200-39200','2'
'39220-39220','2'
'39400-39402','1'
'39501-39503','2'
'39520-39520','2'
'39530-39531','2'
'39540-39541','2'
'39545-39545','2'
'39560-39561','2'
'40500-40500','2'
'40510-40510','2'
'40520-40520','2'
'40525-40525','2'
'40527-40527','2'
'40530-40530','2'
'40650-40650','1'
'40652-40652','1'
'40654-40654','1'
'40700-40702','2'
'40720-40720','2'
'40761-40761','2'
'40800-40801','1'
'40804-40805','1'
'40810-40810','1'
'40812-40812','1'
'40814-40814','2'
'40816-40816','2'
'40818-40818','2'
'40830-40831','1'
'40840-40840','2'
'40842-40845','2'
'41000-41000','1'
'41005-41010','1'
'41015-41015','1'
'41016-41018','2'
'41019-41019','1'
'41110-41110','1'
'41112-41113','1'
'41114-41114','2'
'41116-41116','1'
'41120-41120','2'
'41130-41130','2'
'41135-41135','2'
'41140-41140','2'
'41145-41145','2'
'41150-41150','2'
'41153-41153','2'
'41155-41155','2'
'41250-41252','1'
'41500-41500','2'
'41510-41510','2'
'41512-41512','2'
'41520-41520','2'
'41800-41800','1'
'41805-41806','1'
'41820-41822','1'
'41823-41823','2'
'41825-41826','1'
'41827-41827','2'
'41828-41828','1'
'41830-41830','2'
'41870-41870','2'
'41872-41872','2'
'41874-41874','2'
'42000-42000','1'
'42104-42104','1'
'42106-42106','1'
'42107-42107','2'
'42120-42120','2'
'42140-42140','2'
'42145-42145','2'
'42180-42180','1'
'42182-42182','1'
'42200-42200','2'
'42205-42205','2'
'42210-42210','2'
'42215-42215','2'
'42220-42220','2'
'42225-42227','2'
'42235-42235','2'
'42260-42260','2'
'42281-42281','2'
'42300-42300','1'
'42305-42305','2'
'42310-42310','1'
'42320-42320','1'
'42330-42330','1'
'42335-42335','2'
'42340-42340','2'
'42405-42405','1'
'42408-42408','2'
'42409-42409','1'
'42410-42410','2'
'42415-42415','2'
'42420-42420','2'
'42425-42426','2'
'42440-42440','2'
'42450-42450','2'
'42500-42500','2'
'42505-42505','2'
'42507-42510','2'
'42600-42600','2'
'42665-42665','2'
'42700-42700','1'
'42720-42720','1'
'42725-42725','2'
'42808-42808','1'
'42810-42810','1'
'42815-42815','2'
'42820-42821','2'
'42825-42826','2'
'42830-42831','2'
'42835-42836','2'
'42842-42842','2'
'42844-42845','2'
'42860-42860','2'
'42870-42870','2'
'42890-42890','2'
'42892-42892','2'
'42894-42894','2'
'42900-42900','1'
'42950-42950','2'
'42953-42953','2'
'42955-42955','2'
'42961-42962','2'
'42971-42972','2'
'43020-43020','2'
'43030-43030','2'
'43045-43045','2'
'43100-43101','2'
'43107-43108','2'
'43112-43113','2'
'43116-43118','2'
'43121-43124','2'
'43130-43130','2'
'43135-43135','2'
'43180-43180','1'
'43191-43191','1'
'43193-43196','1'
'43198-43198','1'
'43200-43202','1'
'43204-43206','1'
'43210-43217','1'
'43219-43220','1'
'43226-43229','1'
'43232-43233','1'
'43235-43252','1'
'43254-43258','1'
'43260-43272','1'
'43274-43274','1'
'43277-43278','1'
'43279-43282','2'
'43284-43285','2'
'43289-43289','2'
'43300-43300','2'
'43305-43305','2'
'43310-43310','2'
'43312-43314','2'
'43320-43320','2'
'43324-43328','2'
'43330-43337','2'
'43340-43341','2'
'43350-43352','2'
'43360-43361','2'
'43400-43401','2'
'43405-43405','2'
'43410-43410','2'
'43415-43415','2'
'43420-43420','2'
'43425-43425','2'
'43450-43450','1'
'43453-43453','1'
'43456-43456','1'
'43458-43458','1'
'43460-43460','1'
'43496-43496','2'
'43500-43502','2'
'43510-43510','1'
'43520-43520','2'
'43605-43605','1'
'43610-43611','2'
'43620-43622','2'
'43631-43634','2'
'43640-43641','2'
'43644-43645','2'
'43647-43648','2'
'43651-43653','2'
'43659-43659','2'
'43750-43750','1'
'43753-43753','1'
'43770-43775','2'
'43800-43800','2'
'43810-43810','2'
'43820-43820','2'
'43825-43825','2'
'43830-43832','2'
'43840-43840','2'
'43842-43843','2'
'43845-43848','2'
'43850-43850','2'
'43855-43855','2'
'43860-43860','2'
'43865-43865','2'
'43870-43870','1'
'43880-43882','2'
'43886-43888','2'
'44005-44005','2'
'44010-44010','2'
'44020-44021','2'
'44025-44025','2'
'44050-44050','2'
'44055-44055','2'
'44100-44100','1'
'44110-44111','2'
'44120-44120','2'
'44125-44127','2'
'44130-44130','2'
'44133-44133','2'
'44136-44137','2'
'44140-44141','2'
'44143-44147','2'
'44150-44153','2'
'44155-44158','2'
'44160-44160','2'
'44180-44180','2'
'44186-44188','2'
'44202-44202','2'
'44204-44208','2'
'44210-44212','2'
'44227-44227','2'
'44238-44238','2'
'44300-44300','2'
'44310-44310','2'
'44312-44312','2'
'44314-44314','2'
'44316-44316','2'
'44320-44320','2'
'44322-44322','2'
'44340-44340','2'
'44345-44346','2'
'44360-44361','1'
'44363-44366','1'
'44369-44370','1'
'44372-44373','1'
'44376-44379','1'
'44382-44384','1'
'44386-44386','1'
'44389-44394','1'
'44397-44397','1'
'44401-44405','1'
'44407-44407','1'
'44602-44605','2'
'44615-44615','2'
'44620-44620','2'
'44625-44626','2'
'44640-44640','2'
'44650-44650','2'
'44660-44661','2'
'44680-44680','2'
'44700-44700','2'
'44715-44715','2'
'44720-44721','2'
'44800-44800','2'
'44820-44820','2'
'44850-44850','2'
'44900-44901','2'
'44950-44950','2'
'44960-44960','2'
'44970-44970','2'
'44979-44979','2'
'45000-45000','2'
'45005-45005','1'
'45020-45020','1'
'45100-45100','1'
'45108-45108','2'
'45110-45114','2'
'45116-45116','2'
'45119-45121','2'
'45123-45123','2'
'45126-45126','2'
'45130-45130','2'
'45135-45136','2'
'45150-45150','2'
'45160-45160','2'
'45170-45172','2'
'45300-45300','1'
'45303-45303','1'
'45305-45305','1'
'45307-45309','1'
'45315-45315','1'
'45317-45317','1'
'45320-45321','1'
'45327-45327','1'
'45331-45335','1'
'45337-45340','1'
'45342-45342','1'
'45345-45347','1'
'45349-45349','1'
'45355-45355','1'
'45379-45390','1'
'45392-45392','1'
'45395-45395','2'
'45397-45397','2'
'45400-45400','2'
'45402-45402','2'
'45499-45500','2'
'45505-45505','2'
'45540-45541','2'
'45550-45550','2'
'45560-45560','2'
'45562-45563','2'
'45800-45800','2'
'45805-45805','2'
'45820-45820','2'
'45825-45825','2'
'46020-46020','2'
'46030-46030','2'
'46040-46040','1'
'46045-46045','1'
'46050-46050','1'
'46060-46060','2'
'46070-46070','2'
'46080-46080','2'
'46083-46083','1'
'46210-46211','1'
'46255-46255','1'
'46257-46258','1'
'46260-46262','1'
'46270-46270','1'
'46275-46275','2'
'46280-46280','2'
'46285-46285','2'
'46288-46288','2'
'46320-46320','1'
'46606-46608','1'
'46610-46612','1'
'46614-46615','1'
'46700-46700','2'
'46705-46707','2'
'46710-46710','2'
'46712-46712','2'
'46715-46716','2'
'46730-46730','2'
'46735-46735','2'
'46740-46740','2'
'46742-46742','2'
'46744-46744','2'
'46746-46746','2'
'46748-46748','2'
'46750-46751','2'
'46753-46753','2'
'46754-46754','1'
'46760-46762','2'
'46922-46922','1'
'46924-46924','2'
'46930-46930','1'
'46940-46940','1'
'46942-46942','1'
'46945-46947','1'
'47010-47011','2'
'47015-47015','2'
'47100-47100','1'
'47120-47120','2'
'47122-47122','2'
'47125-47125','2'
'47130-47130','2'
'47135-47136','2'
'47140-47142','2'
'47146-47147','2'
'47300-47300','2'
'47350-47350','2'
'47360-47362','2'
'47370-47371','2'
'47379-47381','2'
'47382-47383','1'
'47400-47400','2'
'47420-47420','2'
'47425-47425','2'
'47460-47460','2'
'47480-47480','2'
'47490-47490','1'
'47510-47511','1'
'47533-47535','1'
'47538-47540','1'
'47552-47556','1'
'47560-47561','1'
'47562-47564','2'
'47570-47570','2'
'47579-47579','2'
'47600-47600','2'
'47605-47605','2'
'47610-47610','2'
'47612-47612','2'
'47620-47620','2'
'47630-47630','1'
'47700-47701','2'
'47711-47712','2'
'47715-47716','2'
'47719-47721','2'
'47740-47741','2'
'47760-47760','2'
'47765-47765','2'
'47780-47780','2'
'47785-47785','2'
'47800-47802','2'
'47900-47900','2'
'48000-48001','2'
'48005-48005','2'
'48020-48020','2'
'48100-48100','1'
'48105-48105','2'
'48120-48120','2'
'48140-48140','2'
'48145-48146','2'
'48148-48148','2'
'48150-48150','2'
'48152-48155','2'
'48160-48160','2'
'48180-48180','2'
'48500-48500','2'
'48510-48510','2'
'48511-48511','1'
'48520-48520','2'
'48540-48540','2'
'48545-48545','2'
'48547-48548','2'
'48554-48554','2'
'48556-48556','2'
'49000-49000','2'
'49002-49002','2'
'49010-49010','2'
'49020-49021','2'
'49040-49041','2'
'49060-49062','2'
'49082-49083','1'
'49085-49085','2'
'49185-49185','1'
'49200-49201','2'
'49203-49205','2'
'49215-49215','2'
'49220-49220','2'
'49250-49250','2'
'49255-49255','2'
'49320-49321','1'
'49322-49325','2'
'49329-49329','2'
'49400-49400','1'
'49402-49402','2'
'49411-49411','1'
'49418-49420','1'
'49421-49422','2'
'49425-49426','2'
'49436-49436','1'
'49440-49442','1'
'49446-49446','1'
'49465-49465','1'
'49491-49492','2'
'49495-49496','2'
'49500-49501','2'
'49505-49505','2'
'49507-49507','2'
'49520-49521','2'
'49525-49525','2'
'49540-49540','2'
'49550-49550','2'
'49553-49553','2'
'49555-49555','2'
'49557-49557','2'
'49560-49561','2'
'49565-49566','2'
'49570-49570','2'
'49572-49572','2'
'49580-49580','2'
'49582-49582','2'
'49585-49585','2'
'49587-49587','2'
'49590-49590','2'
'49600-49600','2'
'49605-49606','2'
'49610-49611','2'
'49650-49657','2'
'49659-49659','2'
'49900-49900','2'
'49904-49904','2'
'49906-49906','2'
'50010-50010','2'
'50020-50020','2'
'50021-50021','1'
'50040-50040','2'
'50045-50045','2'
'50060-50060','2'
'50065-50065','2'
'50070-50070','2'
'50075-50075','2'
'50080-50081','1'
'50100-50100','2'
'50120-50120','2'
'50125-50125','2'
'50130-50130','2'
'50135-50135','2'
'50205-50205','1'
'50220-50220','2'
'50225-50225','2'
'50230-50230','2'
'50234-50234','2'
'50236-50236','2'
'50240-50240','2'
'50250-50250','2'
'50280-50280','2'
'50290-50290','2'
'50320-50320','2'
'50325-50325','2'
'50327-50329','2'
'50340-50340','2'
'50360-50360','2'
'50365-50365','2'
'50370-50370','2'
'50380-50380','2'
'50382-50382','1'
'50385-50387','1'
'50390-50390','1'
'50392-50393','1'
'50395-50395','1'
'50400-50400','2'
'50405-50405','2'
'50432-50433','1'
'50500-50500','2'
'50520-50520','2'
'50525-50526','2'
'50540-50548','2'
'50553-50553','1'
'50555-50555','1'
'50557-50557','1'
'50561-50562','1'
'50572-50572','1'
'50574-50576','1'
'50580-50580','1'
'50592-50593','1'
'50600-50600','1'
'50605-50605','2'
'50610-50610','2'
'50620-50620','2'
'50630-50630','2'
'50650-50650','2'
'50660-50660','2'
'50690-50690','1'
'50694-50695','1'
'50700-50700','2'
'50715-50715','2'
'50722-50722','2'
'50725-50725','2'
'50727-50728','2'
'50740-50740','2'
'50750-50750','2'
'50760-50760','2'
'50770-50770','2'
'50780-50780','2'
'50782-50783','2'
'50785-50785','2'
'50800-50800','2'
'50810-50810','2'
'50815-50815','2'
'50820-50820','2'
'50825-50825','2'
'50830-50830','2'
'50840-50840','2'
'50845-50845','2'
'50860-50860','2'
'50900-50900','2'
'50920-50920','2'
'50930-50930','2'
'50940-50940','2'
'50945-50945','2'
'50947-50948','2'
'50951-50951','1'
'50953-50953','1'
'50955-50955','1'
'50957-50957','1'
'50961-50961','1'
'50972-50972','1'
'50974-50974','1'
'50976-50976','1'
'50980-50980','1'
'51000-51000','1'
'51005-51005','1'
'51010-51010','1'
'51020-51020','2'
'51030-51030','2'
'51040-51040','2'
'51045-51045','2'
'51050-51050','2'
'51060-51060','2'
'51065-51065','2'
'51080-51080','1'
'51100-51101','1'
'51102-51102','2'
'51500-51500','2'
'51520-51520','2'
'51525-51525','2'
'51530-51530','2'
'51535-51535','2'
'51550-51550','2'
'51555-51555','2'
'51565-51565','2'
'51570-51570','2'
'51575-51575','2'
'51580-51580','2'
'51585-51585','2'
'51590-51590','2'
'51595-51597','2'
'51715-51715','1'
'51800-51800','2'
'51820-51820','2'
'51840-51841','2'
'51845-51845','2'
'51860-51860','2'
'51865-51865','2'
'51880-51880','2'
'51900-51900','2'
'51920-51920','2'
'51925-51925','2'
'51940-51940','2'
'51960-51960','2'
'51980-51980','2'
'51990-51990','2'
'51992-51992','2'
'52005-52005','1'
'52007-52007','1'
'52204-52204','1'
'52214-52214','1'
'52224-52224','1'
'52234-52235','1'
'52240-52240','1'
'52250-52250','1'
'52270-52270','2'
'52275-52276','2'
'52277-52277','1'
'52281-52283','1'
'52285-52285','1'
'52287-52287','1'
'52290-52290','1'
'52300-52301','1'
'52305-52305','1'
'52310-52310','1'
'52315-52315','2'
'52317-52318','1'
'52320-52320','1'
'52325-52325','1'
'52327-52327','1'
'52330-52330','1'
'52332-52332','1'
'52334-52334','1'
'52341-52346','1'
'52352-52356','1'
'52400-52400','1'
'52402-52402','1'
'52441-52441','1'
'52450-52450','1'
'52500-52500','1'
'52510-52510','2'
'52601-52601','2'
'52606-52606','2'
'52612-52612','2'
'52614-52614','2'
'52620-52620','2'
'52630-52630','2'
'52640-52640','2'
'52647-52649','2'
'52700-52700','1'
'53000-53000','2'
'53010-53010','2'
'53020-53020','2'
'53025-53025','2'
'53040-53040','1'
'53060-53060','1'
'53080-53080','1'
'53085-53085','1'
'53210-53210','2'
'53215-53215','2'
'53220-53220','2'
'53230-53230','2'
'53235-53235','2'
'53240-53240','2'
'53250-53250','2'
'53260-53260','2'
'53265-53265','2'
'53270-53270','2'
'53275-53275','2'
'53400-53400','2'
'53405-53405','2'
'53410-53410','2'
'53415-53415','2'
'53420-53420','2'
'53425-53425','2'
'53430-53431','2'
'53440-53440','2'
'53442-53442','2'
'53444-53450','2'
'53460-53460','2'
'53500-53500','2'
'53502-53502','2'
'53505-53505','2'
'53510-53510','2'
'53515-53515','2'
'53520-53520','2'
'53600-53601','1'
'53605-53605','1'
'53620-53621','1'
'53850-53850','1'
'53852-53852','1'
'53853-53853','2'
'53855-53855','1'
'53860-53860','1'
'54000-54001','1'
'54015-54015','1'
'54060-54060','1'
'54100-54100','1'
'54105-54105','1'
'54110-54112','2'
'54115-54115','2'
'54120-54120','2'
'54125-54125','2'
'54130-54130','2'
'54135-54135','2'
'54150-54150','1'
'54152-54152','1'
'54160-54164','1'
'54205-54205','1'
'54300-54300','2'
'54304-54304','2'
'54308-54308','2'
'54312-54312','2'
'54316-54316','2'
'54318-54318','2'
'54322-54322','2'
'54324-54324','2'
'54326-54326','2'
'54328-54328','2'
'54332-54332','2'
'54336-54336','2'
'54340-54340','2'
'54344-54344','2'
'54348-54348','2'
'54352-54352','2'
'54360-54360','2'
'54380-54380','2'
'54385-54385','2'
'54390-54390','2'
'54400-54401','2'
'54405-54406','2'
'54408-54408','2'
'54410-54411','2'
'54415-54417','2'
'54420-54420','2'
'54430-54430','2'
'54435-54435','2'
'54437-54437','1'
'54438-54438','2'
'54440-54440','2'
'54450-54450','1'
'54505-54505','1'
'54512-54512','2'
'54520-54520','2'
'54522-54522','2'
'54530-54530','2'
'54535-54535','2'
'54550-54550','2'
'54560-54560','2'
'54600-54600','2'
'54620-54620','2'
'54640-54640','2'
'54650-54650','2'
'54660-54660','2'
'54670-54670','2'
'54680-54680','2'
'54690-54690','2'
'54692-54692','2'
'54700-54700','1'
'54820-54820','2'
'54830-54830','2'
'54840-54840','2'
'54860-54861','2'
'54865-54865','1'
'54900-54901','2'
'55040-55041','2'
'55060-55060','2'
'55100-55100','1'
'55110-55110','1'
'55120-55120','1'
'55150-55150','2'
'55175-55175','2'
'55180-55180','2'
'55200-55200','1'
'55250-55250','1'
'55300-55300','1'
'55400-55400','2'
'55450-55450','1'
'55500-55500','2'
'55520-55520','2'
'55530-55530','2'
'55535-55535','2'
'55540-55540','2'
'55550-55550','2'
'55600-55600','2'
'55605-55605','2'
'55650-55650','2'
'55680-55680','2'
'55700-55700','1'
'55705-55705','1'
'55720-55720','1'
'55725-55725','1'
'55801-55801','2'
'55810-55810','2'
'55812-55812','2'
'55815-55815','2'
'55821-55821','2'
'55831-55831','2'
'55840-55840','2'
'55842-55842','2'
'55845-55845','2'
'55859-55859','1'
'55860-55860','2'
'55862-55862','2'
'55865-55866','2'
'55873-55873','2'
'55875-55875','1'
'55876-55876','2'
'55920-55920','1'
'55970-55970','2'
'55980-55980','2'
'56405-56405','1'
'56420-56420','1'
'56605-56605','1'
'56620-56620','2'
'56625-56625','2'
'56630-56634','2'
'56637-56637','2'
'56640-56640','2'
'56700-56700','2'
'56740-56740','2'
'56800-56800','2'
'56805-56805','2'
'56810-56810','2'
'56821-56821','1'
'57010-57010','1'
'57022-57023','1'
'57100-57100','1'
'57105-57105','1'
'57106-57107','2'
'57109-57112','2'
'57120-57120','2'
'57130-57130','2'
'57135-57135','2'
'57155-57156','1'
'57200-57200','2'
'57210-57210','2'
'57220-57220','2'
'57230-57230','2'
'57240-57240','2'
'57250-57250','2'
'57260-57260','2'
'57265-57265','2'
'57268-57268','2'
'57270-57270','2'
'57280-57280','2'
'57282-57285','2'
'57287-57289','2'
'57291-57292','2'
'57295-57296','2'
'57300-57300','2'
'57305-57305','2'
'57307-57308','2'
'57310-57311','2'
'57320-57320','2'
'57330-57330','2'
'57335-57335','2'
'57415-57415','1'
'57421-57421','1'
'57423-57423','2'
'57425-57426','2'
'57454-57456','1'
'57460-57461','1'
'57500-57500','1'
'57505-57505','1'
'57510-57510','1'
'57520-57520','1'
'57522-57522','1'
'57530-57531','2'
'57540-57540','2'
'57545-57545','2'
'57550-57550','2'
'57555-57556','2'
'57558-57558','1'
'57700-57700','2'
'57720-57720','2'
'57820-57820','1'
'58100-58100','1'
'58120-58120','1'
'58140-58140','2'
'58145-58146','2'
'58150-58150','2'
'58152-58152','2'
'58180-58180','2'
'58200-58200','2'
'58210-58210','2'
'58240-58240','2'
'58260-58260','2'
'58262-58263','2'
'58267-58267','2'
'58270-58270','2'
'58275-58275','2'
'58280-58280','2'
'58285-58285','2'
'58290-58294','2'
'58340-58340','1'
'58345-58346','1'
'58350-58350','1'
'58353-58353','1'
'58356-58356','1'
'58400-58400','2'
'58410-58410','2'
'58520-58520','2'
'58540-58546','2'
'58548-58548','2'
'58550-58550','2'
'58552-58554','2'
'58558-58563','1'
'58565-58565','1'
'58570-58573','2'
'58600-58600','2'
'58605-58605','2'
'58615-58615','2'
'58660-58662','2'
'58670-58674','2'
'58700-58700','2'
'58720-58720','2'
'58740-58740','2'
'58750-58750','2'
'58752-58752','2'
'58760-58760','2'
'58770-58770','2'
'58800-58800','1'
'58805-58805','2'
'58820-58820','2'
'58822-58823','2'
'58825-58825','2'
'58900-58900','1'
'58920-58920','2'
'58925-58925','2'
'58940-58940','2'
'58943-58943','2'
'58950-58954','2'
'58956-58958','2'
'58960-58960','2'
'58970-58970','2'
'58974-58974','2'
'58976-58976','2'
'59001-59001','1'
'59072-59072','1'
'59074-59074','1'
'59076-59076','2'
'59100-59100','2'
'59120-59121','2'
'59130-59130','2'
'59135-59136','2'
'59140-59140','2'
'59150-59151','2'
'59160-59160','1'
'59300-59300','1'
'59320-59320','2'
'59325-59325','2'
'59350-59350','2'
'59400-59400','1'
'59409-59410','1'
'59412-59412','1'
'59510-59510','2'
'59514-59515','2'
'59610-59610','1'
'59612-59612','1'
'59614-59614','1'
'59618-59618','2'
'59620-59620','2'
'59622-59622','2'
'59812-59812','1'
'59820-59821','1'
'59830-59830','2'
'59840-59841','1'
'59850-59852','2'
'59855-59857','2'
'59866-59866','1'
'59870-59870','2'
'59897-59897','2'
'60000-60000','1'
'60200-60200','2'
'60210-60210','2'
'60212-60212','2'
'60220-60220','2'
'60225-60225','2'
'60240-60240','2'
'60252-60252','2'
'60254-60254','2'
'60260-60260','2'
'60270-60271','2'
'60280-60281','2'
'60300-60300','1'
'60500-60500','2'
'60502-60502','2'
'60505-60505','2'
'60520-60522','2'
'60540-60540','2'
'60545-60545','2'
'60600-60600','2'
'60605-60605','2'
'60650-60650','2'
'60659-60659','2'
'61000-61001','1'
'61020-61020','1'
'61050-61050','1'
'61055-61055','1'
'61070-61070','1'
'61105-61105','2'
'61107-61108','2'
'61120-61120','2'
'61140-61140','2'
'61150-61151','2'
'61154-61154','2'
'61156-61156','2'
'61210-61210','2'
'61215-61215','2'
'61250-61250','2'
'61253-61253','2'
'61304-61305','2'
'61312-61315','2'
'61320-61323','2'
'61330-61330','2'
'61332-61334','2'
'61340-61340','2'
'61343-61343','2'
'61345-61345','2'
'61440-61440','2'
'61450-61450','2'
'61458-61458','2'
'61460-61460','2'
'61470-61470','2'
'61480-61480','2'
'61490-61490','2'
'61500-61501','2'
'61510-61510','2'
'61512-61512','2'
'61514-61514','2'
'61516-61516','2'
'61518-61522','2'
'61524-61524','2'
'61526-61526','2'
'61530-61531','2'
'61533-61546','2'
'61548-61548','2'
'61550-61550','2'
'61552-61552','2'
'61556-61559','2'
'61563-61564','2'
'61566-61567','2'
'61570-61571','2'
'61575-61576','2'
'61580-61586','2'
'61590-61592','2'
'61595-61598','2'
'61600-61601','2'
'61605-61608','2'
'61613-61613','2'
'61615-61616','2'
'61618-61619','2'
'61623-61624','2'
'61626-61626','2'
'61630-61630','2'
'61635-61635','2'
'61640-61640','2'
'61645-61645','2'
'61680-61680','2'
'61682-61682','2'
'61684-61684','2'
'61686-61686','2'
'61690-61690','2'
'61692-61692','2'
'61697-61698','2'
'61700-61700','2'
'61702-61703','2'
'61705-61705','2'
'61708-61708','2'
'61710-61711','2'
'61720-61720','2'
'61735-61735','2'
'61750-61751','2'
'61760-61760','2'
'61770-61770','2'
'61790-61791','1'
'61850-61850','2'
'61860-61860','2'
'61863-61863','2'
'61867-61867','2'
'61870-61870','2'
'61875-61875','2'
'61880-61880','2'
'61885-61886','2'
'61888-61888','2'
'62000-62000','2'
'62005-62005','2'
'62010-62010','2'
'62100-62100','2'
'62115-62117','2'
'62120-62121','2'
'62140-62143','2'
'62145-62147','2'
'62161-62165','2'
'62180-62180','2'
'62190-62190','2'
'62192-62192','2'
'62194-62194','2'
'62200-62201','2'
'62220-62220','2'
'62223-62223','2'
'62225-62225','2'
'62230-62230','2'
'62256-62256','2'
'62258-62258','2'
'62263-62264','1'
'62267-62269','1'
'62287-62287','1'
'62294-62294','1'
'62350-62351','1'
'62360-62362','1'
'62365-62365','1'
'62380-62380','1'
'63001-63001','2'
'63003-63003','2'
'63005-63005','2'
'63011-63012','2'
'63015-63017','2'
'63020-63020','2'
'63030-63030','2'
'63040-63040','2'
'63042-63042','2'
'63045-63047','2'
'63050-63051','2'
'63055-63056','2'
'63064-63064','2'
'63075-63075','2'
'63077-63077','2'
'63081-63081','2'
'63085-63085','2'
'63087-63087','2'
'63090-63090','2'
'63101-63102','2'
'63170-63170','2'
'63172-63173','2'
'63180-63180','2'
'63182-63182','2'
'63185-63185','2'
'63190-63191','2'
'63194-63200','2'
'63250-63252','2'
'63265-63268','2'
'63270-63273','2'
'63275-63278','2'
'63280-63283','2'
'63285-63287','2'
'63290-63290','2'
'63300-63307','2'
'63600-63600','1'
'63610-63610','1'
'63615-63615','1'
'63650-63650','1'
'63655-63655','2'
'63660-63660','1'
'63662-63664','1'
'63685-63685','1'
'63688-63688','1'
'63700-63700','2'
'63702-63702','2'
'63704-63704','2'
'63706-63707','2'
'63709-63710','2'
'63740-63741','2'
'63744-63744','2'
'63746-63746','2'
'64553-64553','1'
'64555-64555','1'
'64560-64561','1'
'64565-64566','1'
'64568-64569','2'
'64570-64570','1'
'64573-64573','2'
'64575-64575','2'
'64577-64577','2'
'64580-64581','2'
'64585-64585','2'
'64590-64590','2'
'64595-64595','2'
'64702-64702','2'
'64704-64704','2'
'64708-64708','2'
'64712-64714','2'
'64716-64716','2'
'64718-64719','2'
