icd_cm,ver
'C50012',10
'C50019',10
'C50021',10
'C50022',10
'C50029',10
'C50111',10
'C50112',10
'C50119',10
'C50121',10
'C50122',10
'C50129',10
'C50211',10
'C50212',10
'C50219',10
'C50221',10
'C50222',10
'C50229',10
'C50311',10
'C50312',10
'C50319',10
'C50321',10
'C50322',10
'C50329',10
'C50411',10
'C50412',10
'C50419',10
'C50421',10
'C50422',10
'C50429',10
'C50511',10
'C50512',10
'C50519',10
'C50521',10
'C50522',10
'C50529',10
'C50611',10
'C50612',10
'C50619',10
'C50621',10
'C50622',10
'C50629',10
'C50811',10
'C50812',10
'C50819',10
'C50821',10
'C50822',10
'C50829',10
'C50911',10
'C50912',10
'C50919',10
'C50921',10
'C50922',10
'C50929',10
'Z853',10
'Z86000',10
'179',9
'1820',9
'1821',9
'1828',9
'V1042',9
'C540',10
'C541',10
'C542',10
'C543',10
'C548',10
'C549',10
'C55',10
'Z8542',10
'1800',9
'1801',9
'1808',9
'1809',9
'7950',9
'79501',9
'79502',9
'79503',9
'79504',9
'79506',9
'V1041',9
'C530',10
'C531',10
'C538',10
'C539',10
'R87610',10
'R87611',10
'R87612',10
'R87613',10
'R87614',10
'Z8541',10
'Z86001',10
'1830',9
'V1043',9
'C561',10
'C562',10
'C569',10
'Z8543',10
'181',9
'1832',9
'1833',9
'1834',9
'1835',9
'1838',9
'1839',9
'1840',9
'1841',9
'1842',9
'1843',9
'1844',9
'1848',9
'1849',9
'79516',9
'V1040',9
'V1044',9
'C510',10
'C511',10
'C512',10
'C518',10
'C519',10
'C52',10
'C5700',10
'C5701',10
'C5702',10
'C5710',10
'C5711',10
'C5712',10
'C5720',10
'C5721',10
'C5722',10
'C573',10
'C574',10
'C577',10
'C578',10
'C579',10
'C58',10
'R87620',10
'R87621',10
'R87622',10
'R87623',10
'R87624',10
'Z8540',10
'Z8544',10
'185',9
'V1046',9
'C61',10
'Z8546',10
'1860',9
'1869',9
'V1047',9
'C6200',10
'C6201',10
'C6202',10
'C6210',10
'C6211',10
'C6212',10
'C6290',10
'C6291',10
'C6292',10
'Z8547',10
'1871',9
'1872',9
'1873',9
'1874',9
'1875',9
'1876',9
'1877',9
'1878',9
'1879',9
'V1045',9
'V1048',9
'V1049',9
'C600',10
'C601',10
'C602',10
'C608',10
'C609',10
'C6300',10
'C6301',10
'C6302',10
'C6310',10
'C6311',10
'C6312',10
'C632',10
'C637',10
'C638',10
'C639',10
'Z8545',10
'Z8548',10
'Z8549',10
'1880',9
'1881',9
'1882',9
'1883',9
'1884',9
'1885',9
'1886',9
'1887',9
'1888',9
'1889',9
'V1051',9
'C670',10
'C671',10
'C672',10
'C673',10
'C674',10
'C675',10
'C676',10
'C677',10
'C678',10
'C679',10
'Z8551',10
'1890',9
'1891',9
'20924',9
'V1052',9
'V1053',9
'C641',10
'C642',10
'C649',10
'C651',10
'C652',10
'C659',10
'C7A093',10
'Z85528',10
'Z8553',10
'1892',9
'1893',9
'1894',9
'1898',9
'1899',9
'V1050',9
'V1059',9
'C661',10
'C662',10
'C669',10
'C680',10
'C681',10
'C688',10
'C689',10
'Z8550',10
'Z8554',10
'Z8559',10
'1910',9
'1911',9
'1912',9
'1913',9
'1914',9
'1915',9
'1916',9
'1917',9
'1918',9
'1919',9
'1920',9
'1921',9
'1922',9
'1923',9
'1928',9
'1929',9
'V1085',9
'V1086',9
'C470',10
'C4710',10
'C4711',10
'C4712',10
'C4720',10
'C4721',10
'C4722',10
'C473',10
'C474',10
'C475',10
'C476',10
'C478',10
'C479',10
'C700',10
'C701',10
'C709',10
'C710',10
'C711',10
'C712',10
'C713',10
'C714',10
'C715',10
'C716',10
'C717',10
'C718',10
'C719',10
'C720',10
'C721',10
'C7220',10
'C7221',10
'C7222',10
'C7230',10
'C7231',10
